Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,11:30:00,Irrigation,Fishing & Cattle Wadding,IDA Bollaram ,Municipal Sewage,Cloudy,4 Feets,No,Clear,None,Low,20 oC,6.2,8.17,1981,4.1,45,0.19,6.8,33,6,,,,10.2,42,380,249,48,18,,,485.19,300,120,185.19,45,105,118,1208.41,857.97,14,,0.17,BDL,6.5,BDL,34.1,2.08
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,14:15:00,Irrigation,Cattle Wadding,IDA Gaddapotharam,Industrial ,Clear,3 Feets,No,Clear,None,Low,23 oC,6.8,7.28,1806,3.2,35,0.3,1.8,11,Less than 1.8,,,,6.2,36,260,350,36,12,,,530,350,140,180,43,82,95,1101.66,782.18,10,,0.2,BDL,5.2,0.1,27.82,1.55
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,09:30:00,None,None,"Domestic waste water from some part of IDA, Pashamailaram.",Industrial ,Clear,3 Mtrs,No,Light Green,None,Low,24 oC,6.2,6.93,2952,12,64,0.2,8.1,84,5.5,,,,10.3,32,525,589,136,36,,,980,550,220,430,104,120,178,1800.72,1278.51,28,,0.23,BDL,15.9,0.28,27.83,2.31
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,09:50:00,Irrigation,Cattle Wadding,"Domestic waste water from some part of IDA, Pashamailaram.",Domestic Waste water drain located on Upstream of the tank.,Clear,3 Mtrs,No,Clear,None,Low,24 oC,7,7.19,2010,4.1,42,0.2,5.6,22,3.7,,,,10.2,44,330,345,84,28,,,654.84,375,150,279.84,68,110,72,1226.1,870.53,16,,0.28,BDL,10.8,0.32,18.89,1.13
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,08:30:00,Irrigation ,Cattle Wadding,None,None,Clear,2 Mtrs,No,Clear,None,Low,24 oC,6.9,6.65,1624,3.2,32,0.16,6.1,39,3.7,,,,7.5,32,185,211,44,14,,,375,225,90,150,36,82,52,990.64,703.35,10,,0.18,BDL,10.9,BDL,22.52,1.05
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,09:00:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,3 Mtrs,Yes,Clear,None,Low,24 oC,6.2,6.9,1659,3.3,33,0.21,6.8,63,4.5,,,,6.3,32,215,289,82,20,,,510,270,108,240,58,84,52,1011.99,718.51,12,,0.21,BDL,9.2,0.5,17.76,0.96
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,10:10:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,2 Mtrs,No,Clear,None,Low,25 oC,6.6,7.32,1356,3.1,24,0.21,8.2,41,6.1,,,,5.8,28,210,211,50,18,,0.26,386.38,230,92,156.38,38,80,46,827.16,587.28,11,,0.1,BDL,9,0.3,20.01,0.92
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,Sangareddy,ZL-RCP,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,Medchal Malkajgiri,Rangareddy - II,Warangal,07.12.2023,08.10 am,,"bathing,washing,idol immersion,wading",none,none,clear,50-100cm,yes,clear,odourfree,,26.8,5.6,8.24,780,2,1.26,,14,540,2,,,,6,5,190,86,32,2.24,0.4,,196,44,110,20.9,86,42,,490,338,10,1.05,,0.5,,0.79,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,Rangareddy - II,Warangal,07.12.2023,08.25 am,,others,municipal sewage,domestic effluents,clear,50-100 cm,yes,brown,odourfree,,27.5,0.3,7.81,1078,12,7.92,,23,540,4,,,,12,5,264,125,136,6.72,3.8,,278,63.2,158,29.16,120,66,,692,484,14,2.64,,0.5,,0.97,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - I,Warangal,06.12.2023,09.15 am,,"fishing,others",municipal sewage,domestic effluents,clear,Greater than 100 cm,no,light green,septic,,26.9,0.3,8.38,1819,12,6.84,,21,430,3.6,,,,12,6,360,283,132,8.96,4.5,,476,102.4,256,53.46,220,58,,1114,780,16,3.48,,0.5,,0.89,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,RR-shamshabad,Rangareddy - I,Warangal,06.12.2023,11.25 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,yellowish brown,septic,,28,0.3,7.06,1278,14,12.54,,24,540,12,,,,20,5,340,128,174,8.4,3.26,,355,88,220,32.8,135,82,,792,506,18,2.58,,0.5,,1.08,,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,Rangareddy - I,Warangal,05.12.2023,08.25 am,,others,none,none,clear,Greater than 100 cm,no,clear,odour free,,28,2,7.24,1440,5.4,6.86,,24,540,2,,,,16,5,340,184,81,7,1.84,,355,86,215,34.02,140,112,,892,580,14,2.16,,0.5,,0.88,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,Rangareddy - I,Warangal,05.12.2023,08.25 am,,others,none,none,clear,Greater than 100 cm,no,clear,odour free,,28,2,7.24,1440,5.4,6.86,,24,540,2,,,,16,5,340,184,81,7,1.84,,355,86,215,34.02,140,112,,892,580,14,2.16,,0.5,,0.88,,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-12-06 00:00:00,09:50:00,Irrigation Purpose,Fishing,None,None,Clear,1 mtr,None,Light Green,None,Medium,19 oC,6.3,6.87,1198,4.1,45,0.18,5.5,58,4,,,,5.1,20,210,201,44,16,,,350,220,88,130,32,71,52,730.78,518.85,10,,0.16,BDL,5.6,0.3,23.87,1.07
3068,Lakes & Tanks ,Ramappa lake,Mulugu,Warangal,Warangal,04.12.2023,10.50 am,,"tourism spot,boating",others,none,cloudy,50to100 cm,no,clear,odourfree,,26,6,8.28,280,1.8,1.44,,Less than 1.8,26,Less than 1.8,,,,8,5,74,28,28,1.5,0.4,,80,19.2,48,7.78,32,18,,176,120,10,0.89,,0.5,,0.45,,
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,Warangal,Warangal,05.12.2023,12.50 pm,,others,others,others,raining,50to100 cm,no,clear,odourfree,,27,6.1,8.15,389,1.2,1.42,,Less than 1.8,21,Less than 1.8,,,,6,5,112,32,16,1.5,0.4,,98,22.4,56,10.21,42,22,,236,164,10,0.64,,0.5,,0.79,,
2346,Lakes & Tanks ,Bhadrakali Cheruvu,Warangal Urban,Warangal,Warangal,07.12.2023,11.20 am,,"tourism spot,others",others,none,cloudy,Less than 150 cm,yes,clear,odourfree,,27,4.2,7.94,442,3,1.8,,17,350,2,,,,16,5,98,64,36,2.6,0.48,,110,28,70,9.72,40,18,,278,160,12,0.56,,0.5,,0.54,,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,Warangal,Warangal,05.12.2023,11.50 am,,others,none,none,raining,50to100 cm,yes,clear,odour free,,26,5.8,8.24,581,1.6,2.04,,Less than 1.8,48,Less than 1.8,,,,6,5,140,69,28,1.5,0.4,,148,32,80,16.52,68,29,,366,274,10,1.5,,0.5,,0.87,,
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,Warangal,Warangal,07.12.2023,01.25 pm,,others,industrial effluents,sewage,cloudy,Less than 50cm,yes,clear,odour free,,27,0.3,7.8,1146,6,7.4,,40,920,10,,,,22,5,286,158,50,4,0.49,,290,72,180,26.73,110,66.3,,722,440,17,1.32,,0.5,,0.72,,
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,Ranga Reddy,Warangal,07.12.2023,10.00 am,,others,municipal sewage,municipal swewage,clear,50-100cm,yes,light green,septic,,26,0.3,7.14,2428,8,13.38,,21,540,8.1,,,,16,5,560,326,112,5.6,2.74,,580,144,360,53.46,220,206,,1530,1056,13,1.38,,0.5,,1.04,,
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,Warangal,07.12.2023,12.10 pm,,others,industrial effluents,none,cloudy,Less than 50cm,yes,clear,odourless,,26,0.3,7.86,2807,10,8.6,,58,920,14,,,,18,5,302,640,120,4.6,0.4,,560,140.8,352,50.54,208,210,,1712,920,18,1.72,,0.5,,0.68,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",,Ramagundam,Warangal,06.12.2023,10.00 am,,bathing,none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,3.16,6.97,455,3,1.42,,10,12,Less than 1.8,,,,12,5,122,51,43,1.5,0.4,,145,39.2,98,11.42,47,32,,288,180,13,0.22,,0.5,,0.22,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,Ramagundam,Warangal,06.12.2023,10.20 am,,bathing,none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,4.1,7.45,1029,2,1.82,,6,350,Less than 1.8,,,,10,5,232,167,24,1.5,0.4,,330,84,210,29.16,120,79,,644,480,16,0.34,,0.5,,0.32,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,Warangal,09.12.2023,01.00 pm,,others,domestic sewage,domestic effluents,clear,50 cm,yes,green,septic,,27.5,0.3,6.92,1388,20,10.6,,34,280,3.6,,,,14,5,262,192,286,4.2,1.6,,368,92.8,232,33.05,136,82,,856,600,18,2.82,,0.5,,1.06,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,ZL-RCP,2023-12-20 00:00:00,09:00:00,Irrigation,Fishing,IDA Gaddapotharam & Khazipally,None,Cloudy,10 mtrs,Floating alage,Clear,None,Low,17 oC,6.4,6.88,3380,4.3,72,0.24,6,79,5.6,,,,8.6,28,250,536,60,26,,,925.06,530,212,395.06,96,180,106,2061.8,1463.88,20,,0.2,BDL,10.8,0.21,19.62,1.41
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-12-20 00:00:00,10:00:00,Irrigation,Fishing,IDA Bonthapally,None,Cloudy,10 mtrs,Floating alage,Clear,None,Low,18 oC,7,8.31,1137,3,28,0.22,5.5,63,3.6,,,,5.7,24,120,238,30,9,,,370,220,88,150,36,70,48,693.57,492.43,15,,0.22,BDL,6.9,0.32,21.6,0.99
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,ZL-RCP,2023-12-19 00:00:00,10:30:00,Irrigation,Fishing & Bathing,None,None,Cloudy,10 mtrs,Floating alage,Clear,Fishy,Low,19 oC,7.2,7.14,738,3,25,0.1,3.6,47,2,,,,4,12,150,117,36,6,,,250,150,60,100,24,45,23,450.18,319.63,9,,0.15,BDL,6.2,BDL,16.24,0.57
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,Warangal,05.12.2023,10.40 am,,others,domestic sewage,none,raining,Less than 50 cm,yes,pale green,fishy,,26,0.3,6.84,1180,8,10.24,,21,430,12,,,,12,5,270,159,89,5.6,2.92,,285,68,170,27.95,115,98,,732,468,10,2.34,,0.5,,1.04,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-12-20 00:00:00,09:30:00,None,Fishing,IDA Gaddapotharam ,Seepages from IDA,Sunny,10 mtrs,Floating alage,Clear,Fishy,Low,18 oC,6.4,6.79,2762,4.8,50,0.23,6.1,58,5.5,,,,12,28,195,525,72,14,,,685,415,166,270,66,78,118,1684.82,1196.22,18,,0.13,0.15,34,0.28,25.91,1.74
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-12-05 00:00:00,08:00:00,Irrigation,Fishing & Cattle Wadding,Domestic waste water from Residential area located in Upstream of the tank.,Domestic Waste water drain located on Upstream of the tank.,Clear,5 Mtrs,None,Clear,None,Low,24 oC,6,7.2,1226,4,12,0.21,6.8,70,5.6,,,,9,20,210,190,36,6,,,350,175,70,175,43,60,44,747.86,530.98,15,,0.22,BDL,12.9,0.38,20.51,1.0
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-05 00:00:00,09:00:00,Irrigation,Fishing & Washing,Domestic waste water from Sangareddy Town.,Domestic Waste water drain located on Upstream of the tank.,Clear,4 Mtrs,None,Clear,None,Low,25 oC,6.9,7.26,976,3,29,0.21,6.8,84,5.6,,,,4.1,24,120,190,36,12,,,335,205,82,130,32,32,25,595.36,422.71,10,,0.17,BDL,8,0.32,13.49,0.53
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,10:30:00,Irrigation,Cattle Wadding,Domestic waste water from Sangareddy Town.,Seepages ,Clear,3 Mtrs,None,Clear,None,Low,24 oC,7.4,7.08,1353,4.1,44,0.2,6,43,4.5,,,,3.8,18,125,289,28,10,,,475.19,290,116,185.19,45,72,42,825.33,585.98,9,,0.16,BDL,6.2,0.22,15.83,0.75
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-12-04 00:00:00,10:50:00,Irrigation,Cattle Wadding,Domestic waste water from Village.,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.8,7.98,1646,4.1,39,0.13,2,23,1.8,,,,3.9,28,280,264,58,16,,,570,355,142,215,52,125,72,1004.06,712.88,10,,0.2,BDL,9,0.31,21.16,1.17
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,Warangal,05.12.2023,09.20 am,,"bathing,fishing",none,none,clear,Greater than 100 cm,no,pale green,odourless,,28,3.4,8.42,869,2.8,2.56,,3.6,120,Less than 1.8,,,,9,10,210,102,37,3.36,0.95,,216,46.4,116,24.3,100,52,,550,424,18,1.76,,0.5,,0.93,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,Warangal,07.12.2023,11.20 am,,others,domestic sewage,sewage,cloudy,Less than 150 cm,yes,pale green,septic,,27,0.3,7.12,740,6,3.4,,40,430,6,,,,18,5,152,107,55,4.2,0.48,,220,55.2,138,19.93,82,48,,480,340,16,0.72,,0.5,,0.62,,
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,Warangal,07.12.2023,11.20 am,,others,domestic sewage,sewage,cloudy,Less than 150 cm,yes,pale green,septic,,27,0.3,7.38,1784,12,11.78,,34,920,10,,,,28,5,460,206,140,11.2,3.86,,480,122,305,42.52,175,128,,1124,765,21,3.54,,0.6,,1.38,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,Warangal,05.12.2023,02.10 pm,,others,none,none,cloudy,50to100 cm,yes,pale green,odourfree,,27,0.3,8.85,1008,8,4.74,,17,350,2,,,,16,10,262,114,96,5.6,1.46,,282,62.4,156,30.62,126,42,,624,446,18,3.05,,0.5,,1.2,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy,ZL-RCP,2023-12-05 00:00:00,08:30:00,Irrigation,None,None,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.8,7.06,410,2.8,15,0.04,Less than 1.8,21,Less than 1.8,,,,2.4,10,100,56,28,4,,,130,75,30,55,13,20,15,250.1,177.57,5,,BDL,BDL,3.2,0.18,19.66,0.53
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,ZL-RCP,2023-12-05 00:00:00,10:30:00,Irrigation,Cattle Wadding,None,None,Clear,2 Mtrs,None,Clear,None,Low,24 oC,6.8,7.37,828,3,25,0.08,2,22,1.8,,,,3.8,12,190,111,38,10,,,245,160,64,85,21,42,32,505.08,358.61,7,,BDL,BDL,7.2,0.4,21.32,0.77
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,Warangal,06.12.2023,11.10 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,black,septic,,28,0.3,6.62,1040,12,5.08,,27,540,10,,,,15,5,250,128,147,5.6,2.78,,260,64,160,24.3,100,78,,644,406,10,2.54,,0.5,,0.9,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,Hyderabad,Warangal,06.12.2023,03.30pm,,others,none,none,clear,app 2-5mts,yes,clear,odourfree,,26,4.5,7.32,895,2.8,4.52,,21,430,4,,,,14,5,230,100,39,5.6,0.4,,240,58,145,23.09,95,62,,546,364,12,1.28,,0.5,,1.18,,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,Warangal,04.12.2023,04.30 pm,,"tourism spot,boating",others,none,cloudy,50to100 cm,no,clear,odourfree,,27,6.2,7.67,151,1,0.38,,Less than 1.8,28,Less than 1.8,,,,3,5,40,22,12,1.5,0.4,,42,9.6,24,4.37,18,12,,96,70,10,0.34,,0.5,,0.95,,
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,Warangal,06.12.2023,04.50pm,,tourism spot,others,none,raining,Less than 50cm,no,clear,odourfree,,27,5.8,7.48,186,1,1.6,,Less than 1.8,110,Less than 1.8,,,,10,5,42,28,12,1.5,0.4,,48,10,25,5.59,23,11,,116,72,14,0.22,,0.5,,0.42,,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,Warangal,06.12.2023,02.10 pm,,others,none,none,cloudy,50to100 cm,yes,pale green,odourfree,,27,0.3,7.64,1605,10,7.9,,27,430,3.6,,,,18,5,362,202,112,6.72,2.86,,380,84,210,41.31,0,84,,1012,748,22,2.68,,0.5,,0.99,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy,ZL-RCP,2023-12-30 00:00:00,10:50:00,Irrigation & Domestic,Bathing & Fishing,None,None,Clear,4 Mtrs,None,Light Brown,None,Low,25 oC,7.2,7.32,721,2.3,20,0.09,3.6,41,2,,,,2.8,10,155,65,28,8,,,165,125,50,40,10,40,26,439.81,312.27,8,,BDL,BDL,4.1,0.38,24.74,0.71
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,Hyderabad,Warangal,09.12.2023,10.30 am,,"boating,gardening,tourism spot",municipal sewage,municipal swewage,clear,50-100 cm,yes,light green,septic,,26,0.3,7.28,1308,8,6.5,,17,350,2,,,,10,5,314,156,121,6.72,3.86,,332,74.4,186,35.48,146,68,,824,640,14,3.16,,0.5,,0.85,,
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,Hyderabad,Warangal,07.12.2023,09.45 am,,others,municipal sewage,municipal swewage,clear,Greater than 100 cm,yes,light brown,septic,,27.2,0.3,7.34,1719,10,8.64,,32,540,4,,,,20,5,350,289,125,10.08,4.26,,430,96,240,46.17,190,34,,1060,746,18,3.42,,0.5,,1.04,,
2341,Lakes & Tanks ,Miralam tank,Hyderabad,Hyderabad,Warangal,09.11.2023,10.10 am,,others,municipal sewage,municipal swewage,clear,50-100 cm,yes,light green,septic,,28,0.3,7.84,1462,6.4,9.4,,23,540,8,,,,14,5,310,220,94,6.72,3.4,,362,80,200,39.37,162,46,,894,680,18,3.05,,0.5,,1.28,,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,Rangareddy - II,Warangal,07.12.2023,07.00 am,,others,municipal sewage,domestic effluents,clear,50-100cm,yes,light green,septic,,25.7,0.3,7.42,1144,8,9.44,,41,280,6,,,,16,5,234,138,80,8.4,1.6,,330,84,210,29.16,120,78,,876,540,32,1.74,,0.5,,1.02,,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,Rangareddy - II,Warangal,07.12.2023,06.30  am,,others,municipal sewage,domestic effluents,clear,50-100cm,yes,light green,septic,,26.5,0.3,7.91,1476,10,8.24,,40,920,11,,,,20,5,294,226,125,8.96,4.78,,324,73.6,184,34.02,140,56,,910,688,26,3.82,,0.5,,1.19,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,07.12.2023,08.45 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,light green,septic,,27,0.3,7.28,1166,6,12.3,,34,540,8.1,,,,20,5,226,143,63,4.2,1.12,,320,86.4,216,25.27,104,88,,780,560,44,2.36,,0.5,,0.98,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Warangal,07.11.2023,08.20 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,brown,septic,,26.5,0.3,7.28,1074,6.4,5.61,,21,430,3.6,,,,16,5,242,125,70,6.72,3.64,,286,67.2,168,28.67,118,64,,666,490,20,2.28,,0.5,,1.2,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,Rangareddy - II,Warangal,07.11.2023,07.50 am,,others,municipal sewage,domestic effluents,clear,Greater than 100cm,yes,light black,septic,,27,3.26,7.58,812,3,11.4,,43,920,4.5,,,,12,5,174,102,34,5.6,2.2,,240,62.4,156,20.41,84,62,,456,340,22,2.24,,0.5,,0.88,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,Hyderabad,Warangal,17.12.2023,09.40 am,,"boating,gardening,tourism spot",municipal sewage,municipal swewage,green,50-100 cm,yes,green,septic,,27.5,0.3,7.2,1020,6.4,5.2,,16,430,4.5,,,,18,5,214,154,94,7,2.4,,255,60.8,152,25.03,103,78,,633,440,20,1.45,,0.5,,0.7,,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,06.12.2023,10.10.am,,others,municipal sewage,domestic effluents,clear,Greater than 50 cm,yes,black,septic,,27.5,0.3,6.97,1244,8,12.62,,25,920,3.7,,,,16,5,248,144,82,8.4,2.2,,360,94,235,30.38,125,102,,802,620,20,2.42,,0.5,,1.22,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,Rangareddy - I,Warangal,09.12.2023,10.55 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,yellowish brown,septic,,28,0.3,8.04,1579,8,6.94,,24,540,4,,,,22,5,312,240,94,10.08,4.09,,340,76.8,192,35.96,148,74,,1010,720,28,3.4,,0.5,,1.06,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,Rangareddy - I,Warangal,05.12.2023,10.25 am,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,yes,yellowish brown,septic,,28,0.3,7.18,2066,10,8.58,,21,920,8.1,,,,19,5,540,234,112,9.8,3.72,,560,138,345,52.24,345,128,,1302,970,14,3.96,,0.5,,1.33,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,Rangareddy - II,Warangal,09.12.2023,11.00 am,,"fishing,others",domestic sewage,domestic effluents,clear,Greater than 100 cm,yes,green,septic,,27.2,3.5,7.48,1179,3.4,3.28,,17,350,2,,,,16,5,320,123,43,5.6,2.3,,362,82.4,206,37.91,156,46,,720,560,14,1.21,,0.5,,0.97,,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,Hyderabad,Warangal,09.12.2023,10.20 am,,others,municipal sewage,municipal swewage,clear,50 cm,yes,light black,septic,,27.8,0.3,7.88,1364,8,12.6,,27,430,4,,,,16,5,314,158,98,6.72,3.28,,346,77.6,194,36.94,152,65,,822,600,18,2.42,,0.5,,1.12,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-12-13 00:00:00,10:00:00,Irrigation & Domestic,Bathing & Fishing,None,Municipal Sewage,Cloudy,6 Feets,None,Clear,None,Low,19 oC,6.9,8.32,830,3,28,0.09,6,40,5.6,,,,3.8,16,185,115,40,12,,,260,160,64,100,24,35,26,506.3,359.47,8,,0.13,BDL,7.5,0.36,17.33,0.62
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,RO-R.R-I,Warangal,09.12.2023,01.55 pm,,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,light green,septic,,27.3,0.3,7.18,826,6,5.26,,14,220,2,,,,16,5,195,98,66,2.8,0.4,,210,50,125,20.66,85,62,,512,320,12,0.39,,0.5,,0.78,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,Hyderabad,Warangal,06.12.2023,11.00 am,,others,domestic sewage,none,clear,app 5mts,yes,pale green,odourless,,25,0.3,7.36,2005,14,7.12,,31,540,9.2,,,,16,5,530,202,124,8.4,2.61,,550,136,340,51.03,210,120,,1246,860,16,2.56,,0.5,,1.42,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,Medchal,Warangal,07.12.2023,01.15 am,,others,municipal sewage,domestic effluents,clear,Less than 50 cm,yes,light brown,septic,,15,0.3,7.12,1522,8,7.48,,27,540,8.3,,,,24,5,430,147,73,8.4,2.84,,445,110,275,41.31,170,92,,958,652,18,2.94,,0.5,,1.34,,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,zl-wgl,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,Ranga Reddy-I,Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
