Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,Nalgonda,ZL-RCP,2023-10-12 00:00:00,08:30:00,Irrigation Purpose,Fishing,Sewage & Agricultural runoff,None,Clear,1 Mtr,No,Clear,None,Medium,23 oC,6.4,8.96,1319,2.8,27,0.13,7.8,43,6.8,,,,3.3,32,250,200,30,10,,,385,230,92,155,38,90,63,791.4,561.89,9,,0.14,BDL,5.5,0.48,25.73,1.1,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,RR-I,Warangal,06.10.2023,10.15 am,fishing,fishing,none,none,sunny,nil,yes,light green,odourless,,28,6.2,7.51,444,1,1.2,,Less than 1.8,24,Less than 1.8,,,,8,5,120,46,10,1.5,0.4,,135,82,32.8,53,12.88,26,,280,,10,0.9,,0.5,,0.8,,,,,,,,,,,
1215,Lakes & Tanks ,Madannapet Lake,Warangal Rural,Warangal,Warangal,09.10.2023,01.45 pm,irrigatuon,others,others,none,raining,50 to 100 cm,yes,clear,odourfree,,27,6.1,7.54,314,1.6,0.44,,Less than 1.8,32,Less than 1.8,,,,8,5,102,32,20,1.5,0.4,,96,56,22.4,40,9.72,15,,200,,10,0.26,,0.5,,0.56,,,,,,,,,,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:55:00,Irrigation,Fishing ,IDA  Khazipally,None,Clear,2 mtrs,No,Clear,None,Low,21 oC,5.6,7.01,1508,3.8,35,0.15,5.5,79,4,,,,9.5,42,250,249,45,14,,,365,235,94,130,32,65,89,904.8,642.41,15,,0.16,BDL,6.9,0.31,33.91,1.58,,BDL,BDL,BDL,BDL,BDL,BDL,0.07,
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,10.40 am,others,others,none,none,sunny,1mts,no,green,odourless,,27,0.3,7.2,2688,16,6.8,,49,540,4,,,,18,5,485,360,202,5.6,1.4,,495,312,124.8,183,44.47,198,,1728,,26,5.2,,0.5,,0.68,,,,,,,,,,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,11:20:00,None,None,IDA Bollaram ,Industrial ,Clear,1 Feet,No,Brown,Pungent,Low,21 oC,NIL,7.11,3404,24,58,0.29,5.5,120,4,,,,49,52,625,900,232,52,,,1490.12,700,280,790.12,192,165,145,2042.4,1450.1,62,,0.26,0.32,45,0.49,16.83,1.34,,BDL,BDL,BDL,BDL,0.12,0.15,2.32,
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:00:00,Irrigation,Fishing ,IDA  Bollaram,None,Clear,2 mtrs,No,Clear,None,Low,20 oC,5.8,6.78,1754,3.4,25,0.17,6.8,33,5.6,,,,9.2,40,380,252,42,16,,,445,270,108,175,42,85,120,1052.4,747.2,11,,0.18,BDL,5.3,BDL,36.61,1.95,,BDL,BDL,BDL,BDL,BDL,BDL,0.12,
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,11:50:00,Irrigation,Cattle Wadding,IDA Gaddapotharam,Industrial ,Clear,3 Feets,No,Clear,None,Low,21 oC,5,7.15,3650,7.1,29,0.52,2,10,Less than 1.8,,,,10.2,44,305,320,78,20,,,545,300,120,245,60,105,109,2190,1554.9,10,,0.38,BDL,4.6,0.15,29.89,1.63,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,09:20:00,None,None,"Domestic waste water from some part of IDA, Pashamailaram.",Industrial ,Clear,3 Mtrs,No,Light Green,None,Low,25 oC,4.2,6.68,2415,10,65,0.19,6.8,79,4,,,,9.1,24,475.41,595,134,32,,,890,510,204,380,92,108,140,1449,1028.79,20,,0.22,BDL,14,0.25,25.04,1.62,,BDL,BDL,BDL,BDL,BDL,BDL,0.12,
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,Sangareddy - I,ZL-RCP,2023-10-09 00:00:00,09:00:00,Irrigation,Cattle Wadding,"Domestic waste water from some part of IDA, Pashamailaram.",Domestic Waste water drain located on Upstream of the tank.,Clear,3 Mtrs,No,Clear,None,Low,24 oC,5.3,8.08,1894,10,40,0.15,5.6,22,3.7,,,,9,40,320,335,80,22,,,680,350,140,330,80,98,60,1136.4,806.84,17,,0.23,BDL,9.2,0.32,15.8,0.81,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,Sangareddy - I,ZL-RCP,2023-10-09 00:00:00,09:50:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,3 Mtrs,No,Clear,None,Low,24 oC,4.5,7.65,1611,8.5,29,0.21,7.8,70,5.5,,,,5.6,28,215,290,92,26,,,490,250,100,240,58,82,52,966.6,686.29,16,,0.21,BDL,9.2,0.7,18.34,0.83,,BDL,BDL,BDL,BDL,BDL,0.04,0.2,
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,10:10:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,2 Mtrs,No,Clear,None,Low,25 oC,5.2,8.32,1326,4.2,18,0.2,8.2,34,6,,,,5.4,24,205,215,72,16,,,385,230,92,155,38,80,45,795.6,564.88,12,,0.09,BDL,9.5,0.3,19.63,0.79,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,09:20:00,None,None,"Domestic waste water from some part of IDA, Pashamailaram.",Industrial ,Clear,3 Mtrs,No,Light Green,None,Low,25 oC,4.2,6.68,2415,10,65,0.19,6.8,79,4,,,,9.1,24,475.41,595,134,32,,,890,510,204,380,92,108,140,1449,1028.79,20,,0.22,BDL,14,0.25,25.04,1.62,,BDL,BDL,BDL,BDL,BDL,BDL,0.12,
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,Sangareddy,ZL-RCP,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,RR-shamshabad,Rangareddy - I,Central lab,06.10.2023,09.20 am,others,others,none,none,sunny,Greater than 100 m,yes,light green,clear,,27,6.2,7.38,547,1.1,1.08,,Less than 1.8,23,Less than 1.8,,,,6.2,5,140,62,12,1.5,0.5,,150,88,35.2,62,15.07,30,,328,,10,1.06,,0.5,,0.92,,,,,,,,,,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,01.30 pm,"irrigation,drinking waterr source","tourism spot,idol immersion wading",rain,none,sunny,2mts,yes,clear,septic,,`,6,7.11,640,1.2,2.2,,Less than 1.8,33,Less than 1.8,,,,7.6,5,155,72,36,1.5,0.4,,180,108,43.2,72,17.5,34,,384,,10,1.2,,0.5,,0.98,,,,,,,,,,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Warangal,07.10.2023,12.15 pm,others,others,"domestic,sewage",none,sunny,Greater than 100 m,no,brown,septic,,26,0.3,6.94,813,6.1,2.8,,14,430,Less than 1.8,,,,8,5,185,128,72,1.5,0.4,,210,115,46,95,23.09,72,,486,,14,2.4,,0.5,,1.06,,,,,,,,,,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,09.00 am,"others,cultivation",sewage,sewage,clear,sunny,Greater than 100 m,yes,light green,septic,,26,2.2,7.11,1627,4.8,3,,17,540,Less than 1.8,,,,8.6,5,320,210,52,1.5,0.4,,335,222,88.8,113,27.46,112,,976,,17,2.2,,0.6,,1.07,,,,,,,,,,,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,Rangareddy - I,Warangal,06.10.2023,11.15 am,others,others,municipal sewage,domestic effluents,clear,Greater than ?100 cm,no,brown,septic,,29,0.3,8.04,1086,10,4.21,,27,540,10,,,,13,5,200,146,96,5.6,0.98,,215,130,52,85,20.66,91,,674,,12,2.56,,0.5,,1.06,,,,,,,,,,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,Rangareddy - I,Warangal,05.10.2023,08.15 am,others,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,1.5,7.18,1372,5.2,3.94,,21,430,4,,,,15,5,260,210,56,4.2,0.84,,275,187,74.8,88,21.38,131,,850,,10,1.86,,0.5,,1.04,,,,,,,,,,,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,08:40:00,Irrigation Purpose,Fishing,None,None,Clear,1 mtr,None,Clear,None,Medium,23 oC,6.6,7.53,1303,3.6,50,0.2,5.5,63,4.5,,,,5.2,28,214.75,235,46,20,,,385.49,225,90,160.49,39,75,54,781.8,555.08,14,,0.16,BDL,5.6,0.35,22.93,0.95,,BDL,BDL,BDL,BDL,BDL,BDL,0.18,
3068,Lakes & Tanks ,Ramappa lake,Mulugu,Warangal,Warangal,10.10.2023,09.00 am,irrigation,"boating,tourism spot",others,none,raining,50 to 100 cm,no,clear,odourfree,,26,6,7.51,247,1.8,1.68,,Less than 1.8,24,Less than 1.8,,,,6,5,54,46,12,1.5,0.4,,65,40,16,25,6.08,11,,148,,10,0.2,,0.5,,0.29,,,,,,,,,,,
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,Warangal,Warangal,06.10.2023,12.33 pm,drinking water source,others,others,none,clear,50 to 100 cm,yes,clear,odourfree,,27,6.2,8.17,312,1.6,1.86,,Less than 1.8,33,Less than 1.8,,,,6,5,100,26,16,1.5,0.4,,104,66,26.4,38,9.23,14,,198,,10,0.41,,0.5,,0.53,,,,,,,,,,,
2346,Lakes & Tanks ,Bhadrakali Cheruvu,Warangal Urban,Warangal,Warangal,03.10.2023,11.50 am,drinking water source,others,others,none,clear,Less than 150 cm,no,clear,odourfree,,28,4.3,8.06,445,3.6,1.82,,6.1,47,Less than 1.8,,,,6,5,120,42,52,1.5,0.4,,122,72,28.8,50,12.15,26,,280,,10,0.62,,0.5,,0.59,,,,,,,,,,,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,Warangal,Warangal,06.10.2023,11.37 am,drinking water source,others,none,none,clear,50 to 100 cm,yes,clear,odourless,,27,6,7.79,518,1.8,1.62,,Less than 1.8,43,Less than 1.8,,,,8,5,142,63,28,1.5,0.4,,158,98,39.2,60,14.58,12,,320,,10,0.46,,0.5,,0.63,,,,,,,,,,,
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,Warangal,Warangal,03.10.2023,11.10 am,irrigation,others,industrial,sewage,clear,150 cm,no,clear,odourfree,,28,0.3,8.1,856,8,4.95,,24,350,3.6,,,,16,5,220,118,96,6.72,1.93,,234,132,52.8,102,24.79,32,,544,,20,2.58,,0.5,,1.48,,,,,,,,,,,
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,Ranga Reddy,Warangal,,,,,,,,,,,,,,0.3,8.12,1257,22,4.76,,27,430,4,,,,12,5,245,210,286,7,2.82,,250,166,66.4,84,20.41,125,,784,,10,2.96,,0.5,,1.42,,,,,,,,,,,
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,Warangal,03.10.2023,10.40 am,Others,Others,industrial,none,clear,Less than 150 cm,no,clear,odourfree,,28,0.3,8.19,2099,18,6.28,,38,540,6.1,,,,12.8,5,275,488,221,7.84,2.89,,335,222,88.8,113,27.46,49,,1306,,18,2.63,,0.5,,2.14,,,,,,,,,,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Karimnagar,Ramagundam,Warangal,05.10.2023,09.05 am,bathing ghat,bathing,none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,5.8,6.99,612,1.8,2.8,,Less than 1.8,49,Less than 1.8,,,,6.6,5,150,68,52,1.5,0.4,,160,98,39.2,62,15.07,44,,384,,12,1,,0.5,,0.76,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,Ramagundam,Warangal,05.10.2023,08.15 am,bathing ghat,bathing,none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,4.4,7.01,902,3.2,4.8,,26,430,1.8,,,,10,5,185,106,46,8.4,2.8,,220,155,62,65,15.79,78,,558,,17,2,,0.5,,0.82,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,Warangal,05.10.203,10.15 am,others,others,"domestic,sewage",none,sunny,1mts,none,light green,septic,,29,0.3,6.94,980,6,8,,38,920,3.6,,,,26,5,205,122,56,20,8.4,,330,232,92.8,98,23.81,66,,612,,20,3.66,,0.5,,1.44,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,07:45:00,Irrigation,Fishing,IDA Gaddapotharam & Khazipally,None,Sunny,1 mtr,Floating alage,Clear,None,Low,19 oC,6.2,7.82,2562,4.2,75,0.22,6.8,70,5.5,,,,8.5,28,235,465,54,26,,,850.37,480,192,370.37,90,165,98,1537.2,1091.41,24,,0.2,BDL,10.9,0.21,19.69,1.17,,BDL,BDL,BDL,BDL,BDL,0.12,0.05,
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,09:45:00,Irrigation,Fishing,IDA Bonthapally,None,Sunny,15 mtrs,Floating alage,Clear,None,Low,19 oC,7,7.01,1078,3.1,28,0.2,4.5,58,3.7,,,,6.1,24,114.75,230,30,10,,,355,210,84,145,35,62,45,646.8,459.23,15,,0.21,BDL,6.6,0.36,21.17,0.82,,BDL,BDL,BDL,BDL,BDL,BDL,0.17,
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,ZL-RCP,2023-10-19 00:00:00,09:00:00,Irrigation,Fishing & Bathing,None,None,Cloudy,20 mtrs,Floating alage,Clear,Fishy,Low,19 oC,6.8,7.08,716,3,23,0.12,3.7,47,2,,,,3.8,16,140,118,36,10,,,265.23,150,60,115.23,28,52,24,429.6,305.02,10,,0.18,BDL,6.2,BDL,15.97,0.51,,BDL,BDL,BDL,BDL,BDL,BDL,0.03,
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,Warangal,05.10.2023,09.15 am,"fishing,bathing ghat","bathing,fishing",none,no,clear,Greater than 100 cm,no,green,odourless,,28,3,7.92,1492,2.1,3.48,,6,350,2,,,,8,5,315,220,32,2.8,0.4,,325,205,82,120,29.16,141,,924,,10,1.1,,0.5,,0.91,,,,,,,,,,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,08:45:00,None,Fishing,IDA Gaddapotharam ,Seepages from IDA,Sunny,10 mtrs,Floating alage,Clear,Fishy,Low,19 oC,6.2,7.88,2277,4.5,52,0.2,6.8,63,5.5,,,,15,32,190,500,60,14,,,630.45,400,160,230.45,56,75,109,1366.2,970.0,15,,0.12,0.15,35,0.4,25.9,1.47,,BDL,BDL,BDL,BDL,BDL,BDL,0.07,
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-10-07 00:00:00,08:30:00,Irrigation,Fishing & Cattle Wadding,Domestic waste water from Residential area located in Upstream of the tank.,Domestic Waste water drain located on Upstream of the tank.,Clear,5 Mtrs,None,Light Green ,None,Low,24 oC,6.5,7.63,1190,3.5,9,0.16,7.8,70,6.8,,,,8.2,16,204.92,208,35,10,,,345,175,70,170,41,58,42,714,506.94,15,,0.22,BDL,12.6,0.4,20.14,0.8,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,10:45:00,Irrigation,Fishing & Washing,Domestic waste water from Sangareddy Town.,Domestic Waste water drain located on Upstream of the tank.,Clear,4 Mtrs,None,Light Green,None,Low,25 oC,7,8.45,837,3.2,24,0.17,6.1,79,5.6,,,,4.1,20,119.67,180,36,12,,,300,175,70,125,30,30,18,502.2,356.56,7,,0.15,BDL,8.5,0.32,11.18,0.36,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy-I,ZL-RCP,2023-10-09 00:00:00,10:45:00,Irrigation,Cattle Wadding,Domestic waste water from Sangareddy Town.,Seepages ,Clear,3 Mtrs,None,Clear,None,Low,25 oC,6.2,8.18,1308,2.4,32,0.16,5.6,39,4,,,,3.5,24,119.67,270,24,6,,,430,275,110,155,38,75,30,784.8,557.21,8,,0.16,BDL,5.8,0.24,12.89,0.49,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,08:30:00,Irrigation,Cattle Wadding,Domestic waste water from Village.,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.1,7.53,1295,4.2,32,0.1,2,20,1.8,,,,3.2,24,240,185,48,12,,,420,275,110,145,35,106,65,777,551.67,8,,0.2,BDL,9.1,0.31,24.63,1.07,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,Warangal,06.10.2023,10.32 am,irrigation,others,domestic sewage,none,clear,50 to 100 cm,yes,clear,fishy,,26,4.6,8.18,553,2.8,3.14,,9.1,94,2,,,,20,5,180,48,40,1.5,0.4,,188,114,45.6,74,17.98,16,,338,,16,0.89,,0.5,,0.98,,,,,,,,,,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,Warangal,03.10.2023,10.10 am,others,others,domestic,sewage,clear,Less than 150 cm,no,clear,septic,,28,0.6,7.94,841,5.4,2.9,,24,110,2,,,,12,5,210,100,68,3.36,0.58,,214,140,56,74,17.98,36,,524,,16,1.84,,0.5,,0.96,,,,,,,,,,,
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,Warangal,05.10.2023,10.00 am,others,others,"domestic,sewage",none,sunny,1mts,yes,light brown,septic,,28,0.3,7.17,1402,6,9,,26,920,3.7,,,,21,5,285,182,44,16,8.4,,330,210,84,120,29.16,87,,868,,17,2.76,,0.5,,1.06,,,,,,,,,,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,Warangal,06.10.2023,01.55 pm,irrigation,others,none,none,clear,50 to 100 cm,yes,clear,odourfree,,26,3.2,8.11,765,4.8,3.68,,21,94,3.6,,,,14,5,226,87,52,4.48,0.84,,230,156,62.4,74,17.98,24,,482,,18,0.99,,0.5,,0.68,,,,,,,,,,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-09 00:00:00,08:30:00,Irrigation,None,None,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.8,8.17,360,2.6,10,0.04,Less than 1.8,20,Less than 1.8,,,,3,12,85,45,32,4,,,110,60,24,50,12,18,9,216,153.36,5,,BDL,BDL,3,0.17,14.67,0.3,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,10:30:00,Irrigation,Cattle Wadding,None,None,Clear,2 Mtrs,None,Clear,None,Low,24 oC,6,8.41,733,4.2,22,0.09,2,21,1.8,,,,3.5,12,180,92,50,8,,,240,160,64,80,20,42,20,439.8,312.26,8,,BDL,BDL,6,0.4,14.76,0.43,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,Warangal,06.10.2023,11.00 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,brown,septic,,29,0.3,8.4,1108,14,5.62,,24,540,6.1,,,,16,15,245,138,124,7,2.08,,255,200,80,55,13.37,79,,698,,12,1.1,,0.5,,1.18,,,,,,,,,,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,Hyderabad,Warangal,06.10.2023,02.10 pm,others,others,domestic sewage,none,clear,Greater than 100 cm,no,green,odourfree,,27,4.31,7.42,792,3.2,4,,22,210,1.8,,,,24,5,185,103,42,16,2.2,,210,125,50,85,20.66,25,,484,,10,2.46,,0.5,,0.98,,,,,,,,,,,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,Warangal,10.10.2023,02.50 PM,irrigation,tourism spot,others,none,cloudy,50 to 100 cm,no,clear,odourfree,,28,6.2,7.1,134,1,0.92,,Less than 1.8,14,Less than 1.8,,,,6,5,30,21,5,1.5,0.4,,35,22,8.8,13,3.16,10,,80,,10,0.2,,0.5,,0.2,,,,,,,,,,,
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,Warangal,09.10.2023,02.50 PM,irrigation,tourism spot,others,none,raining,Less than 50 cm,no,clear,odourless,,28,6.2,7.09,177,1.2,0.84,,Less than 1.8,17,Less than 1.8,,,,5,5,58,18,16,1.5,0.4,,62,42,16.8,20,4.86,12,,112,,10,0.2,,0.5,,0.52,,,,,,,,,,,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,Warangal,06.10.2023,01.25 pm,others,others,"domestic,sewage",none,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.22,1159,10,13,,21,220,2,,,,14,5,295,142,132,3.36,0.89,,310,211,84.4,99,24.06,36,,710,,15,1.28,,0.5,,1.12,,,,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy-I,ZL-RCP,2023-10-18 00:00:00,10:30:00,Irrigation & Domestic,Bathing & Fishing,None,None,Clear,2 Mtrs,None,Light Brown,None,Low,25 oC,8.2,7.13,676,2.4,15,0.1,3.6,41,2,,,,3.4,12,155,75,28,10,,,180,130,52,50,12,34,22,405.6,287.98,10,,BDL,BDL,4.2,0.38,20.51,0.54,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,Hyderabad,Warangal,06.10.2023,06.30 am,others,"gardening,boatuing", citysewage,nil,sunny,1mts,no,light green,septic,,25,0.3,7.04,1110,8,4,,33,430,4,,,,16,5,240,144,80,2.8,1.4,,255,165,66,90,21.87,80,,702,,30,4.2,,0.5,,1.12,,,,,,,,,,,
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,Hyderabad,Warangal,06.10.2023,07.20 am,others,gardening,none,none,sunny,1mts,yes,light brown,septic,,27,0.3,7.18,1150,8,3.6,,27,430,4,,,,16,5,225,168,86,4.2,1.4,,225,130,52,95,23.09,86,,688,,25,4.4,,0.5,,1.1,,,,,,,,,,,
2341,Lakes & Tanks ,Miralam tank,Hyderabad,Hyderabad,Warangal,06.10.2023,08.15 am,others,others,sewage,none,sunny,nil,no,light green,septic,,26,2.2,6.97,1229,4,3.3,,24,430,Less than 1.8,,,,15,5,245,172,56,2.8,1.4,,255,144,57.6,111,26.97,98,,737,,27,3.8,,0.5,,1.08,,,,,,,,,,,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,06.15. am,others,others,"domestic,sewage",none,sunny,1mts,yes,light green,septic,,26,0.3,7.06,996,8,3.2,,25,430,12,,,,12,5,210,128,88,1.5,0.4,,220,125,50,95,23.09,70,,590,,19,2.6,,0.5,,0.98,,,,,,,,,,,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,12.15 pm,others,others,sewage,none,sunny,1mts,none,light green,septic,,29,0.3,7.13,1107,6.2,3,,33,430,2,,,,22,5,230,150,76,4.2,1.4,,240,145,58,95,23.09,86,,664,,29,3.2,,0.5,,1.06,,,,,,,,,,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,12.50 pm,others,others,sewage,sewage,rainy,Greater than 50m ,no,light green,odourless,,28,0.3,7.22,1234,6.2,3.8,,24,540,14,,,,14,5,295,152,82,2.8,1.4,,305,160,64,145,35.23,69,,788,,22,3,,0.5,,1.1,,,,,,,,,,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Warangal,07.10.2023,11.40 am,others,others,domestic sewage,none,clear,Greater than 100 m,no,light brown,septic,,28,0.3,6.96,912,6,3.2,,26,430,Less than 1.8,,,,26,5,212,144,78,1.5,0.4,,230,130,52,100,24.3,66,,544,,26,2.6,,0.5,,1.06,,,,,,,,,,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,12.30 pm,others,"fishing,cattle wading",sewage,sewage,sunny,1mts,yes,lightr green,septic,,29,1.2,7.05,1095,5.4,3.1,,21,430,1.8,,,,7.6,5,240,138,86,2.8,1.4,,255,144,57.6,111,26.97,66,,650,,14,3.1,,0.5,,0.99,,,,,,,,,,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,Hyderabad,Warangal,06.10.2023,01.15 am,others,others,none,none,sunny,nil,no,light green,odourless,,28,3.2,7.98,812,4,2.8,,21,430,Less than 1.8,,,,9.2,5,180,122,58,1.5,0.4,,195,112,44.8,83,20.17,86,,464,,16,2.8,,0.5,,0.98,,,,,,,,,,,
