Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",3.6,7.69,716,3,2.3,,14,289,,,,12,BDL,170,104,14,BDL,,182,33.6,23.81,30,76,452,,12,0.38,,0.09,2,0.56,47.2,1.7
4684,Lakes  & Tanks,Campus Lake Icrisat,4.5,6.85,799,4.8,8,0.37,8,720,,,,31,20,128,172,23,4.35,2.74,296,59,36,35,40,498,329,28,,0.27,0.09,6,0.53,22.18,1.03
4685,Lakes  & Tanks,Surisigal Lake Icrisat,6.8,6.99,1993,9.8,16,0.42,6,540,,,,37,16,160,169,52,9.83,6.19,250,54,28,32,70,1167,803,36,,0.48,0.09,10,0.69,36.84,2.0
4686,Lakes  & Tanks,Icrisat Lake,4.1,7.48,1134,10.6,14,0.49,7,1100,,,,43,24,143,148,64,12,7.8,242,52,27,31,53,680,453,41,,0.53,0.09,10,0.78,37.16,1.85
4687,Lakes  & Tanks,Red Lake Icrisat,4.7,7.45,1014,15,16,0.54,12,1200,,,,39,32,133,124,100,18.5,11.8,206,40,26,20,43,610,421,49,,0.41,0.09,13,0.72,24.9,1.07
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",2.1,6.9,1114,63,35,0.36,49,540,,,,76,BDL,132,33,482,57,0.08,496,63,94,13,83,657,,354,0.4,,0.09,34,0.3,23,1.5
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",4.5,7.3,520,14,26,0.47,17,220,,,,18,BDL,360,428,60,6,0.02,232,70,14,139,46,342,184,34,2.1,,0.09,17,BDL,28,1.3
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,Lakes  & Tanks,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,3.2,7.45,1702,28,22,0.43,17,1100,,,,48,36,264,212,124,23.5,14.6,372,78,43,36,84,1021,698,59,,0.32,0.09,12,0.61,32.03,1.89
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",0.1,7.76,1308,60,12,0.37,39,350,,,,42,56,272,167,48,84,0.8,324,67,38,58,166,816,441,6,1.1,,0.21,25,0.1,50,4
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",0.1,7.9,1421,32,0.64,67,70,350,,,,20,32,230,72,137,44,,368,80,41,38,102,952,-,22,3.9,,0.09,36,0.13,35,2.3
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",0.1,8,1180,25,45,2,2,20,,,,25,50,350,149,100,5,0.4,411,100,20,59,155,782,420,30,3.2,,0.09,18,BDL,48.6,3.69
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",1.5,7,2200,50,50,2,1,300,,,,38,18,160,395,205,10,0.2,614,78,14,110,102,1355,710,45,4.1,,0.09,70,BDL,39.26,2.79
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes  & Tanks,"Large tank, Saroornagar, Rangareddy District.",0.1,7.29,1603,28,12.2,,13,280,,,,36,BDL,316,272,136,4.8,,390,99.2,34.51,84,178,1032,,20,2.85,,0.28,13,0.98,48.8,2.8
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",0.1,7.42,1486,18,13.2,,32,350,,,,16,BDL,315,218,82,4,,390,88,41,88,148,946,,24,0.9,,0.26,8,0.75,44.6,2.3
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",3.6,8.2,1989,38,20,2.3,33,540,,,,12,BDL,396,265,153,48,0.6,396,93,40,54,248,1333,891,46,6.8,,0.09,28,BDL,55,5.4
4703,Lakes  & Tanks,Bulbubu kunta,0.1,7.48,2206,28,18.4,,54,350,,,,9.47,BDL,430,346,104,4.8,,470,124,38.88,149,279,1392,,16,0.78,,0.46,2,0.92,56.2,4
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",0.1,7.84,1686,32,4.16,,25,210,,,,22,BDL,305,298,226,4.6,,375,63.2,52.73,98,210,1086,,32,2.86,,0.26,3,1.04,54.6,3.3
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",3.8,8.24,1431,48,89,0.11,33,350,,,,36,76,380,163,84,-, ,,,,,,,,,,,,,,,
