Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,10.40 am,others,others,none,none,sunny,1mts,no,green,odourless,,27,0.3,7.66,2880,14,12,,21,540,5,,,,29,5,300,627,187,8.96,4.05,,850,425,170,425,103.27,126,,1802,1490,38,3.84,,0.56,,1.36,,,,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,11:20:00,None,None,IDA Bollaram ,Industrial ,Clear,1 Feet,No,Brown,Pungent,Low,21 oC,NIL,7.21,3568,24,52,0.25,5.6,110,4.5,,,,48,46,600,891,284,45,,,1465,725,290,740,180,150,129,2105.12,1494.64,64,,0.22,0.3,49,0.48,15.42,1.44,,,
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,10:00:00,Irrigation,Fishing ,IDA  Bollaram,None,Clear,2 mtrs,No,Clear,None,Low,20 oC,6.8,6.95,1658,3.3,41,0.18,6.8,32,5.6,,,,9.5,38,370,244,42,16,,,439.61,275,110,164.61,40,82,125,978.22,694.54,12,,0.16,BDL,5.9,BDL,37.69,2.3,,,
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,11:50:00,Irrigation,Cattle Wadding,IDA Gaddapotharam,Industrial ,Clear,3 Feets,No,Clear,None,Low,21 oC,6.5,7.21,2820,2.9,29,0.5,1.8,10,Less than 1.8,,,,10.5,40,300,450,40,16,,,640,425,170,215,52,90,106,1663.8,1181.3,12,,0.24,BDL,5.4,0.11,26.22,1.57,,,
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,09:20:00,None,None,"Domestic waste water from some part of IDA, Pashamailaram.",Industrial ,Clear,3 Mtrs,No,Light Green,None,Low,25 oC,6,7.06,2709,10,65,0.19,7.8,84,4.5,,,,10.5,30,515,584,122,32,,,940,530,212,410,100,109,175,1598.31,1134.8,25,,0.22,BDL,15.2,0.3,28.25,2.32,,,
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,Sangareddy - I,ZL-RCP,2023-10-09 00:00:00,09:00:00,Irrigation,Cattle Wadding,"Domestic waste water from some part of IDA, Pashamailaram.",Domestic Waste water drain located on Upstream of the tank.,Clear,3 Mtrs,No,Clear,None,Low,24 oC,6.8,8.05,1752,10,40,0.18,5.5,21,3.7,,,,9.5,42,320,340,82,26,,,635.14,380,152,255.14,62,100,69,1033.68,733.91,15,,0.26,BDL,10.2,0.38,18.72,1.08,,,
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,Sangareddy - I,ZL-RCP,2023-10-09 00:00:00,09:50:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,3 Mtrs,No,Clear,None,Low,24 oC,6.8,7.88,1123,3.2,29,0.14,6.1,38,3.7,,,,7,26,175,216,40,10,,,374.61,210,84,164.61,40,65,50,662.57,470.42,8,,0.16,BDL,10.6,BDL,21.79,1.04,,,
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,10:10:00,Irrigation,Cattle Wadding & Cloth washing,None,None,Clear,2 Mtrs,No,Clear,None,Low,25 oC,6.7,6.72,1663,3.5,30,0.21,6.8,63,4.5,,,,6.4,34,215,297,84,22,,,520,270,108,250,60,82,55,981.17,696.63,12,,0.22,BDL,9.5,0.65,18.35,1.02,,,
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-10-09 00:00:00,09:20:00,None,None,"Domestic waste water from some part of IDA, Pashamailaram.",Industrial ,Clear,3 Mtrs,No,Light Green,None,Low,25 oC,6.4,7.93,1330,3.7,16,0.2,8.3,40,6.1,,,,6,26,205,216,52,16,,0.26,389.61,225,90,164.61,40,81,48,784.7,557.14,10,,0.09,BDL,9.4,0.32,20.54,0.97,,,
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,Sangareddy,ZL-RCP,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,RR-shamshabad,Rangareddy - I,Central lab,06.10.2023,09.20 am,others,others,none,none,sunny,Greater than 100 m,yes,light green,clear,,27,6.2,7.39,568,1.8,0.45,,Less than 1.8,21,Less than 1.8,,,,7,5,146,55,28,1.5,0.4,,165,90,36,75,18.22,38,,358,246,10,0.38,,0.5,,0.53,,,10.0,136.0,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,01.30 pm,"irrigation,drinking waterr source","tourism spot,idol immersion wading",rain,none,sunny,2mts,yes,clear,septic,,`,5.2,7.31,612,2,0.68,,Less than 1.8,39,Less than 1.8,,,,9,5,185,52,32,2.24,0.4,,200,125,50,75,18.22,38,,366,325,10,0.48,,0.5,,0.59,,,10.0,175.0,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Warangal,07.10.2023,12.15 pm,others,others,"domestic,sewage",none,sunny,Greater than 100 m,no,brown,septic,,26,0.3,7.29,954,6.4,4.62,,17,350,2,,,,12,5,210,102,80,5.6,0.95,,225,118,47.2,107,26.0,72,,610,440,16,1.89,,0.5,,1.06,,,10.0,200.0,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,09.00 am,"others,cultivation",sewage,sewage,clear,sunny,Greater than 100 m,yes,light green,septic,,26,1.8,7.22,1444,5.4,5.26,,26,540,3.6,,,,16,5,410,166,76,5.6,1.42,,490,265,106,225,54.67,44,,888,510,14,2.16,,0.5,,1.12,,,10.0,400.0,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,Rangareddy - I,Warangal,06.10.2023,11.15 am,others,others,municipal sewage,domestic effluents,clear,Greater than ?100 cm,no,brown,septic,,29,0.3,7.32,1234,6.8,12,,22,540,10,,,,20,5,236,164,98,8.4,2.2,,316,184,73.6,132,32.08,92,,724,560,33,1.84,,0.5,,0.84,,,10.0,226.0,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,Rangareddy - I,Warangal,05.10.2023,08.15 am,others,others,none,none,clear,Greater than 100 cm,no,clear,odourless,,28,0.3,7.31,1044,6.2,4,,21,540,1.8,,,,12,5,248,112,50,14,5.6,,362,234,93.6,128,31.1,66,,644,510,14,2.86,,0.5,,0.68,,,10.0,238.0,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,Nalgonda,ZL-RCP,2023-10-13 00:00:00,08:40:00,Irrigation Purpose,Fishing,None,None,Clear,1 mtr,None,Clear,None,Medium,23 oC,6.2,7.9,1245,3.6,49,0.19,4.5,58,3.7,,,,5.3,22,215,230,46,18,,,375,230,92,145,35,74,55,734.55,521.53,12,,0.17,BDL,5.8,0.32,23.78,1.11,,,
3068,Lakes & Tanks ,Ramappa lake,Mulugu,Warangal,Warangal,10.10.2023,09.00 am,irrigation,"boating,tourism spot",others,none,raining,50 to 100 cm,no,clear,odourfree,,26,5.6,7.58,268,1.8,0.38,,Less than 1.8,32,Less than 1.8,,,,6,6,76,28,31,1.5,0.4,,80,48,19.2,32,7.78,20,,166,118,10,0.42,,0.5,,0.51,,,12.0,64.0,
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,Warangal,Warangal,06.10.2023,12.33 pm,drinking water source,others,others,none,clear,50 to 100 cm,yes,clear,odourfree,,27,5.8,7.58,373,1.8,0.52,,Less than 1.8,32,Less than 1.8,,,,6,5,98,38,31,1.5,0.4,,106,68,27.2,38,9.23,24,,234,160,10,0.62,,0.5,,0.47,,,10.0,88.0,
2346,Lakes & Tanks ,Bhadrakali Cheruvu,Warangal Urban,Warangal,Warangal,03.10.2023,11.50 am,drinking water source,others,others,none,clear,Less than 150 cm,no,clear,odourfree,,28,5.2,7.97,415,3.2,0.46,,Less than 1.8,32,Less than 1.8,,,,6,5,115,31,32,1.5,0.4,,130,68,27.2,62,15.07,34,,266,190,10,0.67,,0.5,,0.63,,,10.0,105.0,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,Warangal,Warangal,06.10.2023,11.37 am,drinking water source,others,none,none,clear,50 to 100 cm,yes,clear,odourless,,27,5.8,6.99,549,1.6,1.22,,1.8,32,1.8,,,,6,5,160,65,36,1.5,0.4,,165,90,36,75,18.22,12,,346,248,10,0.79,,0.5,,0.65,,,10.0,150.0,
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,Warangal,Warangal,03.10.2023,11.10 am,irrigation,others,industrial,sewage,clear,150 cm,no,clear,odourfree,,28,0.3,7.95,1098,6.8,4.7,,17,540,2,,,,12,5,270,135,97,5.6,0.98,,275,145,58,130,31.59,56,,704,520,16,1.98,,0.5,,1.12,,,10.0,260.0,
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,Ranga Reddy,Warangal,,,,,,,,,,,,,,0.8,7.68,1423,5.8,2.8,,14,350,6,,,,13,5,238,208,63,4.4,2.8,,362,220,88,142,34.51,122,,902,620,24,1.12,,0.5,,0.66,,,,,
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,Warangal,03.10.2023,10.40 am,Others,Others,industrial,none,clear,Less than 150 cm,no,clear,odourfree,,28,0.3,7.78,2469,10,2.46,,21,43,2,,,,12,5,200,611,123,6.72,1.76,,550,300,120,250,60.75,48,,1516,1150,16,1.82,,0.5,,0.93,,,,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Karimnagar,Ramagundam,Warangal,05.10.2023,09.05 am,bathing ghat,bathing,none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,5.8,6.91,655,1,2.84,,Less than 1.8,48,Less than 1.8,,,,5,5,160,69,8,1.5,0.4,,185,115,46,70,17.01,42,,404,280,10,0.2,,0.5,,0.65,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,Ramagundam,Warangal,05.10.2023,08.15 am,bathing ghat,bathing,none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,0.3,7.06,1367,6,5.68,,21,350,Less than 1.8,,,,15,5,370,128,47,4.2,1.38,,390,240,96,150,36.45,68,,861,600,13,0.2,,0.5,,0.82,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,Warangal,05.10.203,10.15 am,others,others,"domestic,sewage",none,sunny,1mts,none,light green,septic,,29,0.3,6.8,1620,18,12.34,,32,540,12,,,,24,5,420,181,338,8.4,2.98,,440,275,110,165,40.09,112,,1020,900,19,3.28,,0.5,,1.34,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,07:45:00,Irrigation,Fishing,IDA Gaddapotharam & Khazipally,None,Sunny,1 mtr,Floating alage,Clear,None,Low,19 oC,7,7.28,3340,4.1,80,0.25,6.1,70,5.5,,,,8.9,28,245,532,62,28,,,930,525,210,405,98,175,108,1970.6,1399.13,22,,0.19,BDL,11,0.22,19.86,1.44,,,
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,09:45:00,Irrigation,Fishing,IDA Bonthapally,None,Sunny,15 mtrs,Floating alage,Clear,None,Low,19 oC,7.4,8.18,1127,3.2,29,0.21,4.5,63,3.7,,,,6.3,22,120,240,32,9,,,389.61,225,90,164.61,40,65,49,664.93,472.1,16,,0.21,BDL,6.8,0.35,21.02,0.99,,,
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,ZL-RCP,2023-10-19 00:00:00,09:00:00,Irrigation,Fishing & Bathing,None,None,Cloudy,20 mtrs,Floating alage,Clear,Fishy,Low,19 oC,7.3,7.69,786,3.3,25,0.1,3.7,48,2,,,,4.2,12,150,120,40,8,,,260,160,64,100,24,52,25,463.74,329.26,8,,0.18,BDL,6.5,BDL,16.84,0.6,,,
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,Warangal,05.10.2023,09.15 am,"fishing,bathing ghat","bathing,fishing",none,no,clear,Greater than 100 cm,no,green,odourless,,28,0.3,7.44,899,12,8.1,,33,350,3.6,,,,9,5,210,102,205,10,6.7,,278,180,72,98,23.81,52,,588,440,17,2.16,,0.5,,0.92,,,10.0,200.0,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,ZL-RCP,2023-10-06 00:00:00,08:45:00,None,Fishing,IDA Gaddapotharam ,Seepages from IDA,Sunny,10 mtrs,Floating alage,Clear,Fishy,Low,19 oC,6.9,6.96,2721,4.7,52,0.24,6.1,58,5.6,,,,14,28,190,527,78,15,,,704.84,425,170,279.84,68,75,120,1605.39,1139.83,19,,0.12,0.14,35,0.31,25.73,1.74,,,
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,ZL-RCP,2023-10-07 00:00:00,08:30:00,Irrigation,Fishing & Cattle Wadding,Domestic waste water from Residential area located in Upstream of the tank.,Domestic Waste water drain located on Upstream of the tank.,Clear,5 Mtrs,None,Light Green ,None,Low,24 oC,5.9,7.61,1181,4.1,9,0.2,6.8,63,6,,,,9.2,20,205,211,34,8,,,345.49,185,74,160.49,39,56,43,696.79,494.72,16,,0.21,BDL,12.8,0.4,20.44,0.95,,,
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,10:45:00,Irrigation,Fishing & Washing,Domestic waste water from Sangareddy Town.,Domestic Waste water drain located on Upstream of the tank.,Clear,4 Mtrs,None,Light Green,None,Low,25 oC,6.8,7.08,946,2.8,28,0.2,6.8,84,6.1,,,,4.5,22,125,187,34,12,,,325,200,80,125,30,35,24,558.14,396.28,10,,0.18,BDL,10.8,0.42,13.34,0.51,,,
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy-I,ZL-RCP,2023-10-09 00:00:00,10:45:00,Irrigation,Cattle Wadding,Domestic waste water from Sangareddy Town.,Seepages ,Clear,3 Mtrs,None,Clear,None,Low,25 oC,7.6,7.54,1382,3.9,45,0.19,5.6,41,4.5,,,,4.1,20,120,287,26,9,,,500,300,120,200,49,75,41,815.38,578.92,8,,0.17,BDL,6.5,0.25,14.82,0.72,,,
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,08:30:00,Irrigation,Cattle Wadding,Domestic waste water from Village.,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.9,7.24,1592,4.3,38,0.12,2,22,1.8,,,,3.9,26,275,259,54,14,,,551.65,350,140,201.65,49,120,70,939.28,666.89,9,,0.21,BDL,9.4,0.33,21.18,1.14,,,
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,Warangal,06.10.2023,10.32 am,irrigation,others,domestic sewage,none,clear,50 to 100 cm,yes,clear,fishy,,26,0.3,7.78,810,7.2,1.39,,17,350,1.8,,,,16,5,235,91,81,4.48,0.49,,250,135,54,115,27.95,22,,506,360,18,0.95,,0.5,,1.05,,,,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,Warangal,03.10.2023,10.10 am,others,others,domestic,sewage,clear,Less than 150 cm,no,clear,septic,,28,4.8,7.13,612,2,3.62,,11,210,1.8,,,,14,5,185,58,38,5.6,1.98,,200,110,44,90,21.87,32,,366,240,14,1.34,,0.5,,0.89,,,,,
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,Warangal,05.10.2023,10.00 am,others,others,"domestic,sewage",none,sunny,1mts,yes,light brown,septic,,28,0.3,7.24,1572,6.8,9.64,,32,920,12,,,,28,5,380,174,132,9.8,3.56,,400,250,100,150,36.45,108,,974,560,24,3.26,,0.5,,1.28,,,,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,Warangal,06.10.2023,01.55 pm,irrigation,others,none,none,clear,50 to 100 cm,yes,clear,odourfree,,26,0.3,7.34,956,7.8,1.18,,17,350,1.8,,,,12,5,260,102,101,4.48,1.26,,265,148,59.2,117,28.43,30,,584,430,18,1.83,,0.5,,0.85,,,,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy-I,ZL-RCP,2023-10-09 00:00:00,08:30:00,Irrigation,None,None,None,Clear,2 Mtrs,None,Light Brown,None,Low,24 oC,6.9,7.44,407,2.9,14,0.05,Less than 1.8,20,Less than 1.8,,,,2.5,10,95,53,32,4,,,125,75,30,50,12,25,14,240.13,170.49,5,,BDL,BDL,3.5,0.17,19.03,0.49,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,ZL-RCP,2023-10-04 00:00:00,10:30:00,Irrigation,Cattle Wadding,None,None,Clear,2 Mtrs,None,Clear,None,Low,24 oC,7.2,8.12,745,3.1,23,0.07,2,21,1.8,,,,3.5,10,185,110,36,9,,,240,160,64,80,19,49,29,439.55,312.08,8,,BDL,BDL,7.5,0.42,20.22,0.69,,,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,Warangal,06.10.2023,11.00 am,others,others,municipal sewage,domestic effluents,clear,Greater than 100 cm,no,brown,septic,,29,0.8,7.43,1024,5.6,4.8,,23,540,12,,,,17,5,198,137,43,6.7,5.6,,294,190,76,104,25.27,82,,644,520,26,2.38,,0.5,,0.58,,,10.0,188.0,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,Hyderabad,Warangal,06.10.2023,02.10 pm,others,others,domestic sewage,none,clear,Greater than 100 cm,no,green,odourfree,,27,5.2,7.29,802,2.6,4.4,,31,430,14,,,,12,5,185,92,32,6.7,2,,225,126,50.4,99,24.06,52,,506,380,22,2.18,,0.5,,1.06,,,10.0,175.0,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,Warangal,10.10.2023,02.50 PM,irrigation,tourism spot,others,none,cloudy,50 to 100 cm,no,clear,odourfree,,28,6.2,7.11,150,1,0.38,,Less than 1.8,21,1.8,,,,3,5,44,18,16,1.5,0.4,,66,46,18.4,20,4.86,12,,96,68,10,0.2,,0.5,,0.2,,,10.0,34.0,
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,Warangal,09.10.2023,02.50 PM,irrigation,tourism spot,others,none,raining,Less than 50 cm,no,clear,odourless,,28,6.2,7.55,175,1.4,0.3,,Less than 1.8,10,1.8,,,,5,5,35,28,5,1.5,0.4,,40,25,10,15,3.65,14,,104,61,10,0.2,,0.5,,0.2,,,10.0,25.0,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,Warangal,06.10.2023,01.25 pm,others,others,"domestic,sewage",none,clear,Less than 50 cm,yes,light green,septic,,27,0.3,7.15,1520,8,3.54,,14,430,2,,,,28,5,325,182,120,5.6,1.48,,340,195,78,145,35.23,109,,978,660,22,1.95,,0.5,,1.12,,,10.0,315.0,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy-I,ZL-RCP,2023-10-18 00:00:00,10:30:00,Irrigation & Domestic,Bathing & Fishing,None,None,Clear,2 Mtrs,None,Light Brown,None,Low,25 oC,7.1,7.29,734,2.3,15,0.1,3.6,43,2,,,,3,12,160,77,30,10,,,180,130,52,50,12,42,28,433.06,307.47,10,,BDL,BDL,4.5,0.41,24.68,0.75,,,
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,Hyderabad,Warangal,06.10.2023,06.30 am,others,"gardening,boatuing", citysewage,nil,sunny,1mts,no,light green,septic,,25,1.8,7.49,1363,5.6,3.82,,27,430,2,,,,14,5,355,142,84,5.6,1.82,,370,195,78,175,42.52,72,,858,610,18,2.05,,0.5,,0.95,,,10.0,345.0,
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,Hyderabad,Warangal,06.10.2023,07.20 am,others,gardening,none,none,sunny,1mts,yes,light brown,septic,,27,0.3,7.58,1675,6.2,10.2,,34,540,4,,,,12,5,430,166,92,8.96,3.92,,460,255,102,205,49.81,101,,1058,772,24,3.47,,0.5,,1.16,,,10.0,420.0,
2341,Lakes & Tanks ,Miralam tank,Hyderabad,Hyderabad,Warangal,06.10.2023,08.15 am,others,others,sewage,none,sunny,nil,no,light green,septic,,26,1.2,7.21,1391,5.8,7.85,,17,350,2,,,,16,5,345,158,76,5.6,1.48,,365,190,76,175,42.52,62,,846,590,20,3.15,,0.5,,0.85,,,10.0,335.0,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,06.15. am,others,others,"domestic,sewage",none,sunny,1mts,yes,light green,septic,,26,0.3,7.14,1413,6.2,6.9,,31,430,14,,,,28,5,350,142,89,8.4,2.94,,360,225,90,135,32.8,88,,876,568,16,2.82,,0.6,,1.28,,,10.0,340.0,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,12.15 pm,others,others,sewage,none,sunny,1mts,none,light green,septic,,29,0.3,7.31,1511,6.4,6.79,,49,430,6,,,,19,5,365,147,104,6.72,1.96,,390,210,84,180,43.74,96,,936,664,26,3.49,,0.5,,1.13,,,10.0,355.0,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,12.50 pm,others,others,sewage,sewage,rainy,Greater than 50m ,no,light green,odourless,,28,0.3,7.22,1320,6.6,3.68,,14,350,2,,,,18,5,320,123,56,7.84,3.38,,330,175,70,155,37.66,98,,838,580,22,3.48,,0.5,,1.12,,,10.0,310.0,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Warangal,07.10.2023,11.40 am,others,others,domestic sewage,none,clear,Greater than 100 m,no,light brown,septic,,28,0.3,7.3,930,6.4,5.86,,24,540,10,,,,17,5,210,105,89,7,2.86,,220,135,54,85,20.66,66,,564,392,15,2.74,,0.5,,1.28,,,10.0,200.0,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,12.30 pm,others,"fishing,cattle wading",sewage,sewage,sunny,1mts,yes,lightr green,septic,,29,2.8,7.09,999,4.8,4.2,,14,220,Less than 1.8,,,,7,5,285,85,52,4.48,2.92,,295,150,60,145,35.23,68,,640,422,10,1.16,,0.5,,0.79,,,10.0,275.0,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,Hyderabad,Warangal,06.10.2023,01.15 am,others,others,none,none,sunny,nil,no,light green,odourless,,28,0.3,6.94,930,6.8,4.56,,24,430,4,,,,14,5,205,115,82,5.6,1.28,,215,130,52,85,20.66,72,,568,360,12,1.25,,0.5,,0.84,,,10.0,195.0,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,Rangareddy - II,Warangal,04.10.2023,10.20 am,others,others,domestic sewage,none,sunny,Greater than 50 M,no,light green,septic,,28,0.3,7.01,1655,8,7.38,,27,540,12,,,,18,5,405,191,95,11.2,2.94,,415,260,104,155,37.66,118,,1042,708,14,3.28,,0.6,,1.32,,,10.0,395.0,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,Rangareddy - I,Warangal,04.10.2023,11.20 am,others,none,sewage,none,sunny,1mts,yes,light green,septic,,28,0.3,7.28,1503,6.2,8.64,,27,540,11,,,,21,5,370,152,71,8.4,2.62,,385,240,96,145,35.23,98,,916,604,13,3.12,,0.5,,1.24,,,10.0,360.0,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,Rangareddy - I,Warangal,05.10.2023,10.15 AM,others,others,municipal sewage,domestic effluents,clear,Greater than 100 mts,yes,yellowish brown,septic,,28,0.3,7.33,1806,8,6,,17,920,6.8,,,,16,5,284,260,99,13.4,4.4,,452,272,108.8,180,43.74,152,,1202,760,32,3.64,,0.5,,1.28,,,10.0,274.0,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,Rangareddy - II,Warangal,05.10.2023,06.00 am,"fishing,others",fishing,none,none,sunny,1mts,yes,lighrt green,septic,,26,2.8,7.07,1104,5,5.12,,4,280,Less than 1.8,,,,6,5,244,144,52,3.36,0.95,,280,155,62,125,30.38,50,,684,496,12,1.86,,0.5,,0.96,,,10.0,234.0,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,Hyderabad,Warangal,06.10.2023,06.45 am,others,others,domestic sewage,none,sunny,none ,no,light brown,septic,,26,0.3,7.11,1288,6.4,6.52,,34,540,4,,,,12,5,315,119,64,6.72,2.62,,340,185,74,155,37.66,92,,822,600,16,2.26,,0.5,,0.89,,,10.0,305.0,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,ZL-RCP,ZL-RCP,2023-10-12 00:00:00,09:30:00,Irrigation & Domestic,Bathing & Fishing,None,Municipal Sewage,Clear,4 Feets,None,Clear,None,Low,18 oC,6.6,7.21,816,3.1,24,0.09,6,41,5.5,,,,4.2,14,180,120,38,12,,,235,150,60,85,21,31,29,481.44,341.82,7,,0.12,BDL,7.9,0.35,20.29,0.72,,,
